Order Date,Category,Sales
2014-04-23,Office Supplies,58.9
2014-04-25,Furniture,1790.29
2014-04-25,Office Supplies,287.32800000000003
2014-04-25,Technology,302.376
2014-04-26,Furniture,230.28
2014-04-26,Office Supplies,52.288
2014-04-28,Office Supplies,738.5360000000001
2014-04-28,Technology,1839.94
2014-04-29,Furniture,631.0039999999999
2014-04-29,Office Supplies,117.86
2014-04-29,Technology,19.98
2014-04-30,Office Supplies,1000.95
2014-04-30,Technology,47.79
2014-05-02,Office Supplies,26.136
2014-05-02,Technology,479.984
2014-05-03,Office Supplies,72.632
2014-05-04,Furniture,39.64
2014-05-04,Office Supplies,147.792
2014-05-05,Furniture,127.869
2014-05-05,Office Supplies,133.108
2014-05-06,Office Supplies,254.456
2014-05-07,Furniture,1066.5700000000002
2014-05-07,Office Supplies,24.78
2014-05-08,Technology,1799.97
2014-05-09,Office Supplies,158.70999999999998
2014-05-09,Technology,235.76999999999998
2014-05-10,Furniture,606.749
2014-05-10,Office Supplies,261.45
2014-05-10,Technology,1475.6
2014-05-11,Furniture,1279.0720000000001
2014-05-11,Office Supplies,157.962
2014-05-11,Technology,205.768
2014-05-12,Furniture,734.846
2014-05-13,Furniture,279.456
2014-05-13,Office Supplies,468.95599999999996
2014-05-13,Technology,149.97
2014-05-14,Furniture,310.88
2014-05-16,Furniture,232.88
2014-05-16,Technology,56.4
2014-05-17,Office Supplies,91.68
2014-05-18,Furniture,149.232
2014-05-18,Office Supplies,19.92
2014-05-18,Technology,779.796
2014-05-19,Office Supplies,91.62
2014-05-20,Furniture,150.192
2014-05-20,Office Supplies,149.128
2014-05-20,Technology,20.784
2014-05-21,Furniture,107.772
2014-05-21,Office Supplies,3538.586
2014-05-21,Technology,617.97
2014-05-22,Technology,180.93
2014-05-23,Office Supplies,268.57
2014-05-23,Technology,55.188
2014-05-24,Office Supplies,116.28
2014-05-25,Furniture,29.32
2014-05-25,Office Supplies,90.22
2014-05-26,Furniture,875.7339999999999
2014-05-26,Office Supplies,164.416
2014-05-26,Technology,285.568
2014-05-27,Furniture,567.12
2014-05-27,Office Supplies,376.78
2014-05-27,Technology,1213.494
2014-05-28,Office Supplies,136.96
2014-05-28,Technology,85.00800000000001
2014-05-30,Furniture,355.455
2014-05-30,Office Supplies,385.48199999999997
2014-05-30,Technology,1183.976
2014-05-31,Technology,773.7
2014-06-01,Furniture,2024.06
2014-06-01,Office Supplies,2282.5299999999997
2014-06-01,Technology,881.93
2014-06-02,Furniture,73.32
2014-06-02,Office Supplies,425.308
2014-06-02,Technology,239.97
2014-06-03,Furniture,577.424
2014-06-03,Office Supplies,163.912
2014-06-04,Furniture,424.48799999999994
2014-06-04,Office Supplies,31.784
2014-06-06,Furniture,991.764
2014-06-06,Office Supplies,382.237
2014-06-07,Furniture,268.935
2014-06-07,Office Supplies,12.462
2014-06-08,Furniture,755.904
2014-06-08,Office Supplies,1745.3600000000001
2014-06-09,Furniture,3233.7439999999997
2014-06-09,Office Supplies,338.712
2014-06-09,Technology,1890.5520000000001
2014-06-10,Office Supplies,491.55
2014-06-13,Office Supplies,14.52
2014-06-14,Furniture,212.94
2014-06-15,Furniture,897.862
2014-06-15,Office Supplies,45.111999999999995
2014-06-16,Furniture,647.84
2014-06-16,Office Supplies,115.952
2014-06-17,Furniture,6.24
2014-06-17,Office Supplies,3346.2920000000004
2014-06-17,Technology,65.97
2014-06-18,Technology,139.8
2014-06-20,Furniture,193.0656
2014-06-20,Office Supplies,1015.5
2014-06-20,Technology,620.384
2014-06-21,Furniture,107.994
2014-06-21,Office Supplies,255.92000000000002
2014-06-21,Technology,3743.529
2014-06-22,Furniture,1023.9879999999999
2014-06-22,Office Supplies,671.976
2014-06-22,Technology,279.534
2014-06-23,Office Supplies,23.119999999999997
2014-06-23,Technology,86.376
2014-06-24,Furniture,4.272
2014-06-25,Furniture,447.84
2014-06-25,Office Supplies,80.96000000000001
2014-06-25,Technology,263.96
2014-06-27,Furniture,85.98
2014-06-27,Office Supplies,306.2
2014-06-27,Technology,223.96
2014-06-28,Furniture,1228.465
2014-06-28,Office Supplies,417.32599999999996
2014-06-29,Office Supplies,46.68
2014-06-30,Office Supplies,739.624
2014-07-01,Office Supplies,25.104000000000003
2014-07-01,Technology,575.92
2014-07-02,Office Supplies,5.58
2014-07-02,Technology,73.98
2014-07-04,Office Supplies,247.40800000000002
2014-07-05,Furniture,232.73600000000002
2014-07-05,Office Supplies,731.398
2014-07-05,Technology,479.97
2014-07-06,Furniture,478.48
2014-07-06,Technology,559.992
2014-07-07,Furniture,241.19400000000002
2014-07-08,Furniture,566.37
2014-07-08,Office Supplies,196.704
2014-07-09,Furniture,119.833
2014-07-09,Office Supplies,145.688
2014-07-11,Furniture,979.0500000000001
2014-07-11,Office Supplies,269.368
2014-07-11,Technology,938.788
2014-07-12,Furniture,1333.846
2014-07-12,Office Supplies,346.39
2014-07-12,Technology,279.776
2014-07-13,Furniture,351.216
2014-07-14,Furniture,31.984
2014-07-14,Office Supplies,184.856
2014-07-14,Technology,75.75399999999999
2014-07-15,Office Supplies,6.54
2014-07-15,Technology,2.97
2014-07-18,Furniture,259.136
2014-07-18,Office Supplies,13.904
2014-07-19,Furniture,70.56
2014-07-19,Office Supplies,30.786
2014-07-19,Technology,359.98
2014-07-20,Furniture,1041.132
2014-07-20,Office Supplies,1202.714
2014-07-20,Technology,41.94
2014-07-21,Furniture,1732.346
2014-07-21,Office Supplies,193.156
2014-07-21,Technology,35.98
2014-07-22,Furniture,888.072
2014-07-22,Office Supplies,300.292
2014-07-22,Technology,159.98
2014-07-23,Office Supplies,58.1
2014-07-23,Technology,2555.084
2014-07-25,Furniture,77.92
2014-07-25,Office Supplies,8263.369999999999
2014-07-26,Furniture,919.448
2014-07-26,Office Supplies,2494.526
2014-07-26,Technology,1626.02
2014-07-27,Office Supplies,342.05999999999995
2014-07-27,Technology,238.0
2014-07-28,Furniture,129.888
2014-07-28,Office Supplies,63.264
2014-07-30,Furniture,1367.84
2014-08-01,Furniture,44.128
2014-08-01,Office Supplies,184.2
2014-08-02,Office Supplies,865.08
2014-08-02,Technology,21.2
2014-08-03,Furniture,218.75
2014-08-03,Office Supplies,259.244
2014-08-04,Office Supplies,2087.774
2014-08-04,Technology,655.38
2014-08-05,Furniture,1962.724
2014-08-05,Office Supplies,293.65
2014-08-05,Technology,152.35000000000002
2014-08-06,Technology,262.89
2014-08-08,Furniture,658.472
2014-08-08,Office Supplies,705.275
2014-08-08,Technology,2591.882
2014-08-09,Office Supplies,2116.965
2014-08-09,Technology,1488.7199999999998
2014-08-11,Furniture,12.35
2014-08-11,Office Supplies,439.27
2014-08-12,Furniture,85.44
2014-08-12,Office Supplies,509.066
2014-08-12,Technology,1237.874
2014-08-15,Furniture,195.136
2014-08-15,Office Supplies,647.646
2014-08-16,Furniture,853.092
2014-08-17,Office Supplies,160.382
2014-08-17,Technology,339.96
2014-08-19,Furniture,928.0600000000001
2014-08-19,Office Supplies,511.04600000000005
2014-08-20,Furniture,921.6120000000001
2014-08-20,Office Supplies,917.11
2014-08-22,Office Supplies,23.104
2014-08-23,Furniture,4.224
2014-08-23,Office Supplies,417.36
2014-08-23,Technology,143.64
2014-08-24,Furniture,13.28
2014-08-24,Office Supplies,46.46
2014-08-25,Furniture,6.28
2014-08-25,Office Supplies,342.326
2014-08-25,Technology,1103.0439999999999
2014-08-26,Furniture,10.68
2014-08-26,Office Supplies,29.36
2014-08-26,Technology,326.77
2014-08-27,Furniture,1232.06
2014-08-27,Office Supplies,44.64
2014-08-27,Technology,793.4300000000001
2014-08-29,Furniture,174.0585
2014-08-29,Office Supplies,658.264
2014-08-30,Office Supplies,121.24
2014-08-31,Technology,92.52
2014-09-01,Office Supplies,112.43599999999999
2014-09-01,Technology,357.0
2014-09-02,Furniture,70.71
2014-09-02,Office Supplies,1907.81
2014-09-02,Technology,1275.63
2014-09-03,Office Supplies,22.08
2014-09-05,Furniture,31.984
2014-09-05,Office Supplies,264.32
2014-09-06,Furniture,41.88
2014-09-06,Office Supplies,58.48
2014-09-07,Furniture,1714.5929999999998
2014-09-07,Office Supplies,651.076
2014-09-07,Technology,1158.2060000000001
2014-09-08,Furniture,3855.444
2014-09-08,Office Supplies,1692.2559999999999
2014-09-08,Technology,8680.728000000001
2014-09-09,Furniture,864.024
2014-09-09,Office Supplies,1679.3539999999998
2014-09-09,Technology,1500.21
2014-09-10,Furniture,1741.94
2014-09-10,Office Supplies,113.28800000000001
2014-09-11,Furniture,127.95
2014-09-12,Furniture,3825.852
2014-09-12,Office Supplies,936.202
2014-09-12,Technology,142.606
2014-09-13,Furniture,354.306
2014-09-13,Office Supplies,206.162
2014-09-13,Technology,714.94
2014-09-14,Furniture,629.78
2014-09-14,Office Supplies,1289.0159999999998
2014-09-14,Technology,3104.92
2014-09-15,Furniture,118.49600000000001
2014-09-15,Office Supplies,14.94
2014-09-16,Office Supplies,33.552
2014-09-17,Furniture,35.34
2014-09-17,Office Supplies,651.354
2014-09-17,Technology,133.829
2014-09-19,Furniture,961.0179999999999
2014-09-19,Office Supplies,172.694
2014-09-19,Technology,8204.925
2014-09-20,Furniture,3071.6400000000003
2014-09-20,Office Supplies,213.368
2014-09-20,Technology,2050.96
2014-09-21,Furniture,8.544
2014-09-21,Office Supplies,384.77
2014-09-21,Technology,2286.338
2014-09-22,Furniture,676.9680000000001
2014-09-22,Office Supplies,563.298
2014-09-23,Furniture,435.999
2014-09-23,Office Supplies,10142.354000000001
2014-09-23,Technology,83.984
2014-09-24,Office Supplies,211.96
2014-09-25,Furniture,300.5328
2014-09-25,Office Supplies,54.356
2014-09-26,Furniture,752.304
2014-09-26,Office Supplies,571.334
2014-09-26,Technology,156.976
2014-09-27,Furniture,691.4599999999999
2014-09-27,Office Supplies,81.98
2014-09-28,Furniture,337.088
2014-09-28,Office Supplies,153.20399999999998
2014-09-29,Furniture,3153.3880000000004
2014-09-29,Office Supplies,4269.362
2014-09-29,Technology,686.32
2014-09-30,Furniture,15.24
2014-09-30,Office Supplies,972.292
2014-10-01,Office Supplies,4.71
2014-10-02,Office Supplies,42.208
2014-10-02,Technology,555.936
2014-10-03,Furniture,555.8389999999999
2014-10-03,Office Supplies,164.356
2014-10-03,Technology,142.488
2014-10-04,Furniture,589.41
2014-10-04,Office Supplies,139.338
2014-10-05,Office Supplies,91.92
2014-10-05,Technology,99.98
2014-10-06,Office Supplies,485.62
2014-10-06,Technology,9.09
2014-10-07,Furniture,129.92
2014-10-07,Office Supplies,107.44
2014-10-08,Office Supplies,123.92
2014-10-08,Technology,23.472
2014-10-09,Office Supplies,233.368
2014-10-09,Technology,15.992
2014-10-10,Furniture,169.224
2014-10-10,Office Supplies,302.272
2014-10-10,Technology,1577.8899999999999
2014-10-11,Furniture,505.958
2014-10-11,Office Supplies,530.206
2014-10-11,Technology,345.0
2014-10-12,Office Supplies,58.53
2014-10-13,Furniture,1544.53
2014-10-13,Office Supplies,618.9119999999999
2014-10-13,Technology,48.74
2014-10-14,Furniture,1628.82
2014-10-14,Office Supplies,719.7040000000001
2014-10-14,Technology,2176.96
2014-10-15,Furniture,198.75600000000003
2014-10-15,Office Supplies,7.968
2014-10-16,Office Supplies,14.352
2014-10-16,Technology,179.97
2014-10-17,Furniture,5.312
2014-10-17,Office Supplies,10.78
2014-10-17,Technology,119.976
2014-10-18,Furniture,1151.22
2014-10-18,Office Supplies,588.746
2014-10-18,Technology,1394.95
2014-10-19,Office Supplies,201.97599999999997
2014-10-19,Technology,439.12800000000004
2014-10-20,Furniture,328.59
2014-10-20,Office Supplies,852.546
2014-10-20,Technology,319.968
2014-10-21,Furniture,1000.9100000000001
2014-10-21,Office Supplies,355.69199999999995
2014-10-22,Furniture,223.808
2014-10-24,Office Supplies,56.49
2014-10-25,Office Supplies,63.106
2014-10-25,Technology,40.776
2014-10-26,Furniture,63.92
2014-10-26,Technology,383.96
2014-10-27,Office Supplies,22.32
2014-10-28,Furniture,616.998
2014-10-28,Office Supplies,635.604
2014-10-28,Technology,257.98
2014-10-29,Office Supplies,75.88
2014-10-29,Technology,2737.9320000000002
2014-10-31,Furniture,3591.032
2014-10-31,Office Supplies,703.164
2014-10-31,Technology,1067.83
2014-11-01,Furniture,100.38399999999999
2014-11-01,Office Supplies,1512.912
2014-11-01,Technology,3118.784
2014-11-02,Furniture,89.34
2014-11-02,Office Supplies,417.02200000000005
2014-11-02,Technology,1620.008
2014-11-03,Furniture,1355.388
2014-11-03,Office Supplies,554.845
2014-11-03,Technology,873.9300000000001
2014-11-04,Furniture,744.9499999999999
2014-11-04,Office Supplies,206.566
2014-11-04,Technology,5742.232
2014-11-05,Furniture,443.50800000000004
2014-11-05,Office Supplies,1093.29
2014-11-05,Technology,157.766
2014-11-06,Office Supplies,43.68
2014-11-07,Furniture,683.144
2014-11-07,Office Supplies,765.998
2014-11-08,Technology,333.576
2014-11-09,Furniture,279.186
2014-11-09,Office Supplies,590.94
2014-11-09,Technology,703.968
2014-11-10,Furniture,657.0200000000001
2014-11-10,Office Supplies,733.01
2014-11-10,Technology,612.526
2014-11-11,Furniture,2071.424
2014-11-11,Office Supplies,4415.426
2014-11-11,Technology,1627.6979999999999
2014-11-12,Furniture,722.1852
2014-11-12,Office Supplies,125.08
2014-11-12,Technology,207.49599999999998
2014-11-14,Furniture,69.264
2014-11-14,Office Supplies,132.536
2014-11-14,Technology,832.93
2014-11-15,Furniture,10.11
2014-11-15,Office Supplies,998.2419999999998
2014-11-15,Technology,772.47
2014-11-16,Furniture,343.27049999999997
2014-11-16,Office Supplies,658.73
2014-11-16,Technology,353.928
2014-11-17,Furniture,5270.08
2014-11-17,Office Supplies,6174.214
2014-11-17,Technology,99.98
2014-11-18,Furniture,2191.732
2014-11-18,Office Supplies,665.571
2014-11-18,Technology,549.552
2014-11-19,Furniture,1025.88
2014-11-19,Office Supplies,639.02
2014-11-19,Technology,5561.186000000001
2014-11-20,Office Supplies,73.62
2014-11-20,Technology,833.94
2014-11-21,Office Supplies,849.682
2014-11-21,Technology,399.94
2014-11-22,Office Supplies,1103.298
2014-11-23,Furniture,1147.1
2014-11-23,Office Supplies,180.646
2014-11-23,Technology,35.534
2014-11-24,Furniture,1029.808
2014-11-24,Office Supplies,1884.662
2014-11-24,Technology,2664.136
2014-11-25,Furniture,2302.967
2014-11-25,Office Supplies,1548.136
2014-11-25,Technology,564.592
2014-11-26,Furniture,19.3
2014-11-26,Office Supplies,968.3940000000001
2014-11-26,Technology,718.296
2014-11-27,Furniture,199.9
2014-11-27,Office Supplies,3.76
2014-11-28,Furniture,808.932
2014-11-28,Office Supplies,333.118
2014-11-28,Technology,1138.78
2014-11-29,Office Supplies,73.124
2014-11-29,Technology,575.92
2014-11-30,Office Supplies,116.914
2014-11-30,Technology,102.24
2014-12-01,Furniture,4513.606
2014-12-01,Office Supplies,82.928
2014-12-01,Technology,1027.856
2014-12-02,Furniture,1282.8
2014-12-02,Office Supplies,243.298
2014-12-02,Technology,245.70999999999998
2014-12-03,Office Supplies,25.92
2014-12-03,Technology,479.96
2014-12-04,Technology,129.98
2014-12-05,Office Supplies,2170.252
2014-12-05,Technology,793.39
2014-12-06,Furniture,525.192
2014-12-06,Office Supplies,1410.746
2014-12-06,Technology,35.04
2014-12-07,Office Supplies,548.4
2014-12-08,Furniture,723.24
2014-12-08,Office Supplies,215.28
2014-12-08,Technology,156.6
2014-12-09,Office Supplies,442.676
2014-12-09,Technology,1079.976
2014-12-10,Furniture,338.352
2014-12-10,Office Supplies,234.98399999999998
2014-12-12,Furniture,4695.6005000000005
2014-12-12,Office Supplies,242.804
2014-12-13,Furniture,182.38799999999998
2014-12-13,Office Supplies,110.764
2014-12-14,Furniture,322.834
2014-12-14,Office Supplies,19.887999999999998
2014-12-14,Technology,7298.936
2014-12-15,Furniture,1223.786
2014-12-15,Technology,40.68
2014-12-16,Furniture,2798.4320000000002
2014-12-16,Office Supplies,153.639
2014-12-16,Technology,1442.116
2014-12-17,Office Supplies,45.534
2014-12-19,Furniture,1819.86
2014-12-19,Office Supplies,250.156
2014-12-19,Technology,1366.744
2014-12-20,Furniture,4039.814
2014-12-20,Office Supplies,2337.266
2014-12-20,Technology,585.36
2014-12-21,Furniture,1897.92
2014-12-21,Office Supplies,35.519999999999996
2014-12-22,Office Supplies,798.968
2014-12-23,Furniture,118.10000000000001
2014-12-23,Office Supplies,824.008
2014-12-24,Furniture,346.622
2014-12-24,Office Supplies,548.698
2014-12-24,Technology,1054.882
2014-12-26,Furniture,1353.158
2014-12-26,Office Supplies,688.256
2014-12-27,Furniture,1212.798
2014-12-27,Office Supplies,1255.5900000000001
2014-12-27,Technology,498.0
2014-12-28,Office Supplies,3732.2960000000003
2014-12-29,Furniture,143.172
2014-12-29,Office Supplies,505.25199999999995
2014-12-29,Technology,1423.672
2014-12-30,Furniture,523.764
2014-12-30,Office Supplies,774.611
2014-12-30,Technology,874.2760000000001
2014-12-31,Furniture,2584.5280000000002
2014-12-31,Office Supplies,308.72799999999995
2014-12-31,Technology,2360.014
2015-01-02,Furniture,452.45
2015-01-02,Office Supplies,139.08
2015-01-02,Technology,1340.566
2015-01-03,Furniture,1352.3976
2015-01-03,Office Supplies,17.424
2015-01-03,Technology,398.4
2015-01-04,Furniture,192.22
2015-01-04,Office Supplies,72.24000000000001
2015-01-05,Furniture,61.584
2015-01-05,Office Supplies,233.688
2015-01-06,Office Supplies,31.538
2015-01-09,Office Supplies,364.07
2015-01-10,Furniture,1018.104
2015-01-12,Office Supplies,475.548
2015-01-12,Technology,379.066
2015-01-13,Furniture,542.45
2015-01-13,Office Supplies,79.828
2015-01-17,Furniture,254.744
2015-01-17,Office Supplies,95.63999999999999
2015-01-19,Furniture,301.742
2015-01-23,Office Supplies,43.66
2015-01-24,Office Supplies,13.12
2015-01-26,Office Supplies,182.72
2015-01-27,Furniture,2985.906
2015-01-27,Technology,587.346
2015-01-28,Furniture,4297.644
2015-01-30,Furniture,227.36
2015-01-30,Office Supplies,14.304
2015-01-30,Technology,1919.976
2015-01-31,Furniture,53.34
2015-01-31,Office Supplies,45.92
2015-02-03,Furniture,256.202
2015-02-03,Office Supplies,86.664
2015-02-03,Technology,149.97
2015-02-06,Furniture,1552.74
2015-02-06,Office Supplies,861.276
2015-02-06,Technology,18.528
2015-02-07,Office Supplies,324.10999999999996
2015-02-08,Office Supplies,21.11
2015-02-08,Technology,107.982
2015-02-09,Furniture,244.70399999999998
2015-02-09,Office Supplies,40.096
2015-02-09,Technology,500.752
2015-02-10,Office Supplies,77.24
2015-02-14,Office Supplies,58.013999999999996
2015-02-14,Technology,1021.9480000000001
2015-02-15,Office Supplies,627.4800000000001
2015-02-15,Technology,974.9000000000001
2015-02-16,Office Supplies,160.43
2015-02-18,Furniture,35.544
2015-02-18,Office Supplies,70.3
2015-02-20,Office Supplies,286.79
2015-02-20,Technology,29.99
2015-02-21,Office Supplies,2591.1
2015-02-22,Office Supplies,79.36
2015-02-23,Office Supplies,37.775999999999996
2015-02-25,Office Supplies,25.869999999999997
2015-02-27,Furniture,493.92
2015-02-27,Office Supplies,20.451
2015-02-27,Technology,644.9
2015-02-28,Furniture,551.264
2015-03-01,Furniture,1412.7504
2015-03-01,Office Supplies,117.6
2015-03-01,Technology,111.824
2015-03-02,Furniture,787.53
2015-03-02,Office Supplies,112.03999999999999
2015-03-05,Furniture,521.259
2015-03-05,Office Supplies,915.698
2015-03-05,Technology,532.3100000000001
2015-03-06,Furniture,435.26
2015-03-06,Technology,1119.984
2015-03-07,Office Supplies,99.72
2015-03-07,Technology,707.82
2015-03-08,Furniture,1746.95
2015-03-08,Office Supplies,46.396
2015-03-08,Technology,769.95
2015-03-09,Office Supplies,4.608
2015-03-09,Technology,473.4
2015-03-10,Office Supplies,90.93199999999999
2015-03-12,Furniture,37.288
2015-03-12,Office Supplies,13.728000000000002
2015-03-13,Furniture,1384.856
2015-03-14,Office Supplies,707.9000000000001
2015-03-15,Technology,16.776
2015-03-16,Furniture,215.09
2015-03-16,Office Supplies,6929.219999999999
2015-03-16,Technology,85.9
2015-03-17,Office Supplies,33.82
2015-03-17,Technology,15.02
2015-03-19,Furniture,383.4656
2015-03-19,Office Supplies,1665.968
2015-03-19,Technology,3603.506
2015-03-20,Office Supplies,1348.214
2015-03-20,Technology,199.98
2015-03-21,Office Supplies,1270.3790000000001
2015-03-22,Furniture,91.96
2015-03-22,Office Supplies,419.168
2015-03-22,Technology,1970.296
2015-03-23,Furniture,107.772
2015-03-23,Office Supplies,285.56
2015-03-23,Technology,239.97
2015-03-24,Furniture,405.95799999999997
2015-03-24,Office Supplies,6.992
2015-03-26,Furniture,3393.68
2015-03-26,Office Supplies,1212.914
2015-03-26,Technology,16.776
2015-03-27,Office Supplies,83.7
2015-03-28,Office Supplies,77.104
2015-03-28,Technology,166.24
2015-03-29,Furniture,1186.8400000000001
2015-03-29,Office Supplies,318.99
2015-03-29,Technology,53.25
2015-03-30,Furniture,366.744
2015-03-30,Office Supplies,23.52
2015-03-30,Technology,180.96
2015-03-31,Furniture,22.38
2015-03-31,Office Supplies,98.376
2015-03-31,Technology,79.96
2015-04-02,Office Supplies,41.348
2015-04-02,Technology,257.872
2015-04-04,Furniture,108.4
2015-04-04,Office Supplies,765.268
2015-04-04,Technology,610.9300000000001
2015-04-05,Furniture,1799.394
2015-04-05,Office Supplies,877.886
2015-04-05,Technology,296.778
2015-04-06,Office Supplies,114.51599999999999
2015-04-06,Technology,25.488
2015-04-07,Office Supplies,523.484
2015-04-07,Technology,383.952
2015-04-09,Furniture,369.912
2015-04-09,Office Supplies,388.08
2015-04-10,Office Supplies,169.54199999999997
2015-04-11,Furniture,121.888
2015-04-11,Office Supplies,459.36
2015-04-11,Technology,747.098
2015-04-12,Office Supplies,40.74
2015-04-13,Furniture,1811.432
2015-04-13,Office Supplies,202.81400000000002
2015-04-13,Technology,1178.432
2015-04-14,Office Supplies,35.208
2015-04-16,Furniture,1847.8839999999998
2015-04-16,Office Supplies,142.138
2015-04-16,Technology,2171.95
2015-04-17,Office Supplies,1538.176
2015-04-17,Technology,1206.93
2015-04-18,Furniture,152.83599999999998
